k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
90,0.7,0.0,0.0,0.4111778525292794,0.001992810735705092,power_endpoint,H0,beta
100,0.7,0.0,0.0,0.4277098975868156,0.0019494590767962468,power_endpoint,H0,beta
110,0.7,0.0,0.0,0.44346349309212185,0.0019156891081210956,power_endpoint,H0,beta
120,0.7,0.0,0.0,0.45817246748646295,0.0018474441379665865,power_endpoint,H0,beta
130,0.7,0.0,0.0,0.47296878273202947,0.0017826074703563483,power_endpoint,H0,beta
140,0.7,0.0,0.0,0.4870927326352019,0.0017773745436713612,power_endpoint,H0,beta
150,0.7,0.0,0.0,0.5008657676477296,0.0017662752753830472,power_endpoint,H0,beta
160,0.7,0.0,0.0,0.5135669230292371,0.0017759209157412765,power_endpoint,H0,beta
170,0.7,0.0,0.0,0.5261525006739642,0.0017587514553648487,power_endpoint,H0,beta
180,0.7,0.0,0.0,0.5382382452147829,0.0017157788163517725,power_endpoint,H0,beta
190,0.7,0.0,0.0,0.549783505849857,0.0017179412452342502,power_endpoint,H0,beta
200,0.7,0.0,0.0,0.5611337134723224,0.0017124446478564222,power_endpoint,H0,beta
210,0.7,0.0,0.0,0.5724866528042803,0.0016844799515810997,power_endpoint,H0,beta
220,0.7,0.0,0.0,0.5834797258018186,0.0016688067935375695,power_endpoint,H0,beta
230,0.7,0.0,0.0,0.5942997258732332,0.0016413410833649993,power_endpoint,H0,beta
240,0.7,0.0,0.0,0.6042972318918038,0.0016020590857208266,power_endpoint,H0,beta
250,0.7,0.0,0.0,0.6145889794608593,0.00160833253372731,power_endpoint,H0,beta
260,0.7,0.0,0.0,0.6245017683858598,0.0016146887684466709,power_endpoint,H0,beta
270,0.7,0.0,0.0,0.6342123006281171,0.001597420371902207,power_endpoint,H0,beta
280,0.7,0.0,0.0,0.64381263971003,0.001609160069937808,power_endpoint,H0,beta
290,0.7,0.0,0.0,0.6532408557441226,0.0015939820891497222,power_endpoint,H0,beta
300,0.7,0.0,0.0,0.6625446938930702,0.0015983301488438511,power_endpoint,H0,beta
310,0.7,0.0,0.0,0.6718380990558472,0.001607591763431008,power_endpoint,H0,beta
320,0.7,0.0,0.0,0.6808549510900833,0.001612279951858508,power_endpoint,H0,beta
330,0.7,0.0,0.0,0.689960392241897,0.0015869230580076745,power_endpoint,H0,beta
340,0.7,0.0,0.0,0.69838546485593,0.001579356209409243,power_endpoint,H0,beta
350,0.7,0.0,0.0,0.7068800873857309,0.0015644215991435406,power_endpoint,H0,beta
360,0.7,0.0,0.0,0.7150882128115674,0.0015581971330886478,power_endpoint,H0,beta
370,0.7,0.0,0.0,0.7231450516646145,0.0015780947428772763,power_endpoint,H0,beta
380,0.7,0.0,0.0,0.7314468591732929,0.0015711025330834723,power_endpoint,H0,beta
390,0.7,0.0,0.0,0.7397240338943238,0.001569359923983578,power_endpoint,H0,beta
400,0.7,0.0,0.0,0.7477274282623076,0.0015808245930028777,power_endpoint,H0,beta
410,0.7,0.0,0.0,0.7555806247838884,0.0015704258563357582,power_endpoint,H0,beta
420,0.7,0.0,0.0,0.7637064228965481,0.0015412082097501492,power_endpoint,H0,beta
430,0.7,0.0,0.0,0.7715880172701328,0.0015378113729370877,power_endpoint,H0,beta
440,0.7,0.0,0.0,0.7794629033408466,0.0015302423006343562,power_endpoint,H0,beta
450,0.7,0.0,0.0,0.7870776545269105,0.0015227990029274352,power_endpoint,H0,beta
460,0.7,0.0,0.0,0.7947634429277133,0.001523963837651443,power_endpoint,H0,beta
470,0.7,0.0,0.0,0.8025488739615592,0.0015271697617928275,power_endpoint,H0,beta
480,0.7,0.0,0.0,0.809922132468981,0.0015292801827483094,power_endpoint,H0,beta
490,0.7,0.0,0.0,0.817164575136662,0.0015211636486252842,power_endpoint,H0,beta
500,0.7,0.0,0.0,0.8247387447075653,0.001531430106966318,power_endpoint,H0,beta
10,0.33,0.1648,0.0368,1.138489584767373,0.19323263938249127,power_endpoint,H1,beta
20,0.33,0.1738,0.0372,1.107548343587692,0.08696159126740591,power_endpoint,H1,beta
30,0.33,0.177,0.0356,1.0938978536839414,0.0578418349813541,power_endpoint,H1,beta
40,0.33,0.17,0.0352,1.0779625864705429,0.042541993919893176,power_endpoint,H1,beta
50,0.33,0.171,0.0356,1.0685677127382043,0.033933437215944835,power_endpoint,H1,beta
60,0.33,0.1672,0.0358,1.0616926253866195,0.02737960618297613,power_endpoint,H1,beta
70,0.33,0.1656,0.0342,1.0555539762340858,0.02303728011022558,power_endpoint,H1,beta
